implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
BK,1118,2160,0.000199699,84.7266,84.7266,4.407986320728387e-07,4.289918801824787e-06,1.2115101019541422e-06,8.193588615843813e-08,1.2934459881125803e-06,8
MBK,1118,2160,0.000119234,84.7148,84.7148,4.3959631262372537e-07,4.291611070069622e-06,1.2081325054168702e-06,8.178548792727724e-08,1.2899179933441474e-06,8
MBK2,1118,2160,0.0002046,84.6016,84.6016,4.394394693053711e-07,4.291108626405376e-06,1.2077103058497112e-06,8.174745838725055e-08,1.2894577642369617e-06,8
BK,1118,2186,0.000211709,84.7188,84.7188,4.403735046365025e-07,4.2895337217651325e-06,1.2103560898039077e-06,8.18424366857092e-08,1.2921985264896169e-06,8
MBK,1118,2186,0.000118227,84.5938,84.5938,4.394408016049632e-07,4.291321452866556e-06,1.2077159351772732e-06,8.174573845830463e-08,1.2894616736355778e-06,8
MBK2,1118,2186,0.000211168,84.6602,84.6602,4.39879725606939e-07,4.291351405878341e-06,1.208923425939348e-06,8.182619291233097e-08,1.290749618851679e-06,8
BK,1118,2258,0.000208651,84.7188,84.7188,4.399130136559438e-07,4.291446576570059e-06,1.2090050511889989e-06,8.184224558249299e-08,1.2908472967714918e-06,8
MBK,1118,2258,0.000123396,84.5898,84.5898,4.399038242927238e-07,4.291317008938686e-06,1.2089853485425314e-06,8.183498366027684e-08,1.290820332202808e-06,8
MBK2,1118,2258,0.000238258,84.5898,84.5898,4.3936032757121684e-07,4.2915847410072745e-06,1.207473874092102e-06,8.175166265800728e-08,1.2892255367501093e-06,8
BK,1118,2276,0.000219879,84.7188,84.7188,4.402425593929795e-07,4.290021671465572e-06,1.2099789248572457e-06,8.183536586670926e-08,1.2918142907239548e-06,8
MBK,1118,2276,0.000148446,84.7266,84.7266,4.396654593105276e-07,4.290887883137181e-06,1.2083323465453257e-06,8.17885455787367e-08,1.290120892124062e-06,8
MBK2,1118,2276,0.000237817,84.5977,84.5977,4.392325092949493e-07,4.291455571109072e-06,1.2071276704470316e-06,8.172280607235888e-08,1.2888504765193904e-06,8
BK,1118,2284,0.000235952,84.5859,84.5859,4.400205822096304e-07,4.291407995191835e-06,1.2093090348773533e-06,8.185390287868208e-08,1.2911629377560353e-06,8
MBK,1118,2284,0.000131672,84.707,84.707,4.393906793120714e-07,4.291431481027505e-06,1.2075667579968772e-06,8.174784059368297e-08,1.2893145985905602e-06,8
MBK2,1118,2284,0.00022314,84.8359,84.8359,4.395940090225155e-07,4.291638526756356e-06,1.208115617434184e-06,8.179561639773665e-08,1.2899112338319203e-06,8
BK,1118,2202,0.000201714,84.4648,84.4648,4.392996724138648e-07,4.290972287581044e-06,1.2073218822479249e-06,8.17256726206021e-08,1.289047554868527e-06,8
MBK,1118,2202,0.000135158,84.582,84.582,4.393116510291035e-07,4.291249188163528e-06,1.2073641022046407e-06,8.171860180160215e-08,1.2890827040062429e-06,8
MBK2,1118,2202,0.000199081,84.5898,84.5898,4.3937609562365387e-07,4.291408960116512e-06,1.2075245380401612e-06,8.174726728403434e-08,1.2892718053241955e-06,8
BK,1118,2308,0.000194316,84.5898,84.5898,4.3904067814975894e-07,4.291610708637071e-06,1.2066041429837544e-06,8.168343880981869e-08,1.288287581793573e-06,8
MBK,1118,2308,0.000132583,84.4766,84.4766,4.412524503537892e-07,4.288305569138281e-06,1.212855511241489e-06,8.19221267268707e-08,1.2947776379683598e-06,8
MBK2,1118,2308,0.000202017,84.4609,84.4609,4.412131650356494e-07,4.290369279865915e-06,1.2127851446469625e-06,8.187721747106025e-08,1.2946623621180227e-06,8
BK,1118,2154,0.000199664,84.2891,84.2891,4.4004053606106673e-07,4.291333184286759e-06,1.2093568841616314e-06,8.18646046587901e-08,1.2912214888204215e-06,8
MBK,1118,2154,0.000131638,84.6016,84.6016,4.396618829357311e-07,4.291072640983809e-06,1.2083210878902012e-06,8.178930999160154e-08,1.2901103978818029e-06,8
MBK2,1118,2154,0.000238285,84.4141,84.4141,4.401583183253313e-07,4.291474028306455e-06,1.2096833851602343e-06,8.188371498041156e-08,1.291567100140646e-06,8
BK,1118,2196,0.000191503,84.4727,84.4727,4.405492895400243e-07,4.289562424413445e-06,1.2108317679829068e-06,8.188256836111427e-08,1.292714336344021e-06,8
MBK,1118,2196,0.000116354,84.5664,84.5664,4.394973891358855e-07,4.291404453564988e-06,1.2078622976938884e-06,8.176542208957471e-08,1.289627719783463e-06,8
MBK2,1118,2196,0.000205378,84.6016,84.6016,4.395875261025715e-07,4.2914553693873885e-06,1.208121246761746e-06,8.177096408284494e-08,1.289892210844591e-06,8
BK,1118,2196,0.000190401,84.4766,84.4766,4.400177463921364e-07,4.290981236546331e-06,1.2093146642049151e-06,8.18399523438984e-08,1.2911546165488135e-06,8
MBK,1118,2196,0.000145238,84.7227,84.7227,4.40073540320016e-07,4.291495396397651e-06,1.2094525827301877e-06,8.18657512780874e-08,1.291318334008275e-06,8
MBK2,1118,2196,0.000221492,84.5898,84.5898,4.400510939671464e-07,4.291396234856899e-06,1.2094075481096904e-06,8.184492102752e-08,1.2912524691372103e-06,8
BK,1118,2180,0.000183531,84.6055,84.6055,4.394789750456189e-07,4.291224652021379e-06,1.2078285217285158e-06,8.174516514865597e-08,1.2895736868771718e-06,8
MBK,1118,2180,0.000115643,84.5938,84.5938,4.402154333511545e-07,4.291342587328344e-06,1.2098494503233168e-06,8.188524380614128e-08,1.291734694129458e-06,8
