implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
EIBFS new2,15554,900760,0.193617,89.4375,89.4375,8.689215932678982e-06,2.841229126953684e-05,9.502834824481887e-06,1.599413968997254e-05,2.5496974514454428e-05,32
EIBFS old,12034,687360,0.0906724,89.457,89.457,5.851609312773622e-06,2.84147045202518e-05,6.40995151685031e-06,1.0760565900632458e-05,1.7170517417482767e-05,32
EIBFS new2,12034,687360,0.191696,89.6641,89.6641,8.689148261108456e-06,2.8415126987803765e-05,9.50056315600356e-06,1.5996212788139987e-05,2.5496775944143548e-05,32
EIBFS old,13602,783932,0.0871707,89.4141,89.4141,3.0495967370138912e-06,2.8864648002176115e-05,3.436561360356527e-06,5.511943416763643e-06,8.948504777120171e-06,32
EIBFS new,13602,783932,0.0727348,89.4531,89.4531,3.0387892700916293e-06,2.871019955557598e-05,3.401127165340856e-06,5.515665002630499e-06,8.916792167971354e-06,32
EIBFS new2,13602,783932,0.157859,89.6602,89.6602,5.858278663545356e-06,2.8469535894969904e-05,6.432568757160084e-06,1.075751869609718e-05,1.7190087453257265e-05,32
EIBFS old,9986,564928,0.0841954,89.4609,89.4609,3.0708939364249413e-06,2.900705280644916e-05,3.4845925098933583e-06,5.526405149763036e-06,9.010997659656395e-06,32
EIBFS new2,9986,564928,0.176333,89.4375,89.4375,5.892050145636125e-06,2.8645006281236047e-05,6.5355991173618455e-06,1.0753584804996307e-05,1.7289183922358155e-05,32
EIBFS old,16898,984616,0.11617,92.4023,90.9121,5.884098249047098e-06,2.857349234465432e-05,6.506421038457444e-06,1.0759429443203317e-05,1.7265850481660762e-05,32
EIBFS new,16898,984616,0.0979072,89.7617,89.7617,5.866432603236753e-06,2.85206283929924e-05,6.460916002058725e-06,1.075309775181239e-05,1.7214013753871118e-05,32
