implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-L-L,188321,4030834,0.088,201.82,144.33,3.750641867067427e-05,3.569811749928378e-05,5.504442486883518e-05,5.501155813167032e-05,0.0001100559830005,8
HPF-L-L,188321,3663790,0.053,182.66,133.38,3.3748026729055183e-05,3.5609037131589914e-05,4.9407888970724734e-05,4.961975450027296e-05,9.902764347099768e-05,8
HPF-L-L,188321,3474670,0.05,179.62,128.47,3.3731772495414946e-05,3.5645645127707353e-05,4.94341509361812e-05,4.954579734757658e-05,9.897994828375778e-05,8
HPF-L-L,188319,3771804,0.077,192.8,141.82,3.7316122094291606e-05,3.558299769530347e-05,5.459013756096629e-05,5.490745363574377e-05,0.0001094975911967,8
HPF-L-L,187128,3547450,0.389,184.29,144.1,4.451189793768813e-05,3.5729787991736453e-05,6.537899785871021e-05,6.523333081400154e-05,0.0001306123286727,8
HPF-L-L,188321,3664954,0.055,181.42,133.48,3.368782905825904e-05,3.556111272417055e-05,4.925255495756564e-05,4.959844904561237e-05,9.8851004003178e-05,8
HPF-L-L,188321,3595928,0.06,182.23,131.98,3.407910796707155e-05,3.5662692222198404e-05,4.9968190807849616e-05,5.003095227293102e-05,9.999914308078064e-05,8
HPF-L-L,32736,444134,0.025,89.28,89.28,7.453735563275246e-06,3.5489298560581685e-05,1.089367093714752e-05,1.0978003925893633e-05,2.187167486304115e-05,8
HPF-L-L,188321,3851734,0.056,196.83,139.26,3.739383559508175e-05,3.564219215918106e-05,5.479338439022888e-05,5.493224339395084e-05,0.0001097256277841,8
HPF-L-L,188265,3739682,0.095,192.54,141.16,3.7307157801289085e-05,3.560944720855359e-05,5.4613500357431066e-05,5.485778669952737e-05,0.0001094712870569,8
HPF-L-L,188311,4121590,0.083,209.77,152.17,4.108703783352812e-05,3.570081830309366e-05,6.0300288517969175e-05,6.0262391087681527e-05,0.0001205626796056,8
HPF-L-L,188321,3473044,0.046,179.61,128.65,3.376390383567992e-05,3.572172827972175e-05,4.958841717070395e-05,4.948581487469568e-05,9.907423204539964e-05,8
HPF-L-L,188321,3793452,0.057,194.27,140.81,3.739148005460474e-05,3.567617091646043e-05,5.4839448871524255e-05,5.4879266993792446e-05,0.0001097187158653,8
HPF-L-L,188321,3504376,0.051,180.65,129.58,3.385165793653349e-05,3.574284038531917e-05,4.974563312980934e-05,4.958609787640996e-05,9.933173100621928e-05,8
HPF-L-L,188321,3738814,0.054,187.61,135.78,3.09550009123224e-05,3.271810928420851e-05,4.129614442577312e-05,4.95358564672074e-05,9.083200089298051e-05,8
HPF-L-L,188321,3480250,0.049,179.62,128.85,3.3734441254311924e-05,3.563516868561102e-05,4.942158814835035e-05,4.956619113858522e-05,9.898777928693558e-05,8
HPF-L-L,188321,4000072,0.064,202.05,143.7,3.7529493166602126e-05,3.5766171351375074e-05,5.51828555351401e-05,5.494083551165687e-05,0.0001101236910467,8
HPF-L-L,188315,3543916,0.068,181.42,130.65,3.4126824178069005e-05,3.602394792329317e-05,5.053959737608832e-05,4.959956052595516e-05,0.000100139157902,8
HPF-L-L,73596,1117992,0.007,90.78,90.78,1.1287065538694872e-05,3.545924076990147e-05,1.6469731509104885e-05,1.665017535162292e-05,3.311990686072781e-05,8
HPF-L-L,188321,3647188,0.053,179.1,132.81,3.349589712267792e-05,3.539132197670601e-05,4.873562204401813e-05,4.95521914816834e-05,9.828781352570152e-05,8
HPF-L-L,188321,4310824,0.064,216.43,153.09,4.070900684919277e-05,3.535511776455037e-05,5.916374816429537e-05,6.02896660659809e-05,0.0001194534142302,8
HPF-L-L,192881,7576174,0.138,355.44,257.95,6.989535783767058e-05,3.530989905637157e-05,0.0001014314858673,0.0001036641374055,0.0002050956232729,8
HPF-L-L,190120,7476752,1.165,352.09,288.88,0.0001045646225348,3.508053647196811e-05,0.0001507183389079,0.0001561081384797,0.0003068264773876,8
HPF-L-L,192727,8388798,0.253,391.03,288.22,8.058571897111368e-05,3.5244857542733536e-05,0.0001167210197656,0.0001197435863339,0.0002364646060996,8
HPF-L-L,192881,8529240,0.187,397.21,287.8,7.701840312205984e-05,3.521763657369937e-05,0.0001114640541711,0.0001145328915557,0.0002259969457269,8
