implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
MBK,27554,1639060,1.67277,89.4102,89.4102,4.881159069816293e-05,2.860040888294161e-05,5.385512308406226e-05,8.93738970810901e-05,0.0001432290201651,32
MBK2,27554,1639060,1.04836,120.074,117.3,3.171235956680706e-05,2.8658966011946785e-05,3.511451475825614e-05,5.793982178172712e-05,9.305433653998328e-05,32
BK,14882,861532,0.817724,89.6172,89.6172,2.583888570659208e-05,2.850703657376833e-05,2.8368005472165225e-05,4.745165598487944e-05,7.581966145704467e-05,32
MBK,14882,861532,0.557687,89.3867,89.3867,1.7347193545466385e-05,2.862451817747498e-05,1.917968756595667e-05,3.1722598112389733e-05,5.0902285678346405e-05,32
MBK2,14882,861532,0.34941,89.3672,89.3672,1.1650627583062795e-05,2.8694145862255613e-05,1.2943753688331866e-05,2.12429619905322e-05,3.418671567886406e-05,32
BK,23282,1375372,1.24748,117.039,114.923,3.7347105836627385e-05,2.8577636795459395e-05,4.1160307650441735e-05,6.842819988380882e-05,0.0001095885075342,32
MBK,23282,1375372,1.02372,89.418,89.418,3.162363232867994e-05,2.857968699406933e-05,3.48601173325129e-05,5.793386474663152e-05,9.27939820791444e-05,32
MBK2,23282,1375372,0.651323,101.371,99.6621,2.0198347553891068e-05,2.860701304927651e-05,2.230434312124052e-05,3.696415208082016e-05,5.926849520206068e-05,32
BK,22178,1307956,0.73299,111.305,108.568,2.302251414210013e-05,2.854817264062925e-05,2.5332512210436697e-05,4.222300268155124e-05,6.755551489198793e-05,32
MBK,22178,1307956,0.552284,89.4688,89.4688,1.7278164166456335e-05,2.850247231987974e-05,1.8965081560941288e-05,3.173464955655589e-05,5.069973111749718e-05,32
MBK2,22178,1307956,0.360278,96.7227,94.8945,1.1643582016530087e-05,2.866856157184012e-05,1.291362588645012e-05,2.1252415817717463e-05,3.416604170416758e-05,32
BK,20930,1231324,0.973747,105.004,103.591,3.155219409880295e-05,2.851623106755179e-05,3.4649020774751155e-05,5.7935338394726445e-05,9.25843591694776e-05,32
MBK,20930,1231324,0.664519,89.4102,89.4102,2.021240079038199e-05,2.860598462371465e-05,2.232506119336647e-05,3.698467075726058e-05,5.9309731950627046e-05,32
MBK2,20930,1231324,0.430122,91.3906,91.0176,1.4489434322376523e-05,2.8646351905651978e-05,1.6044554502298025e-05,2.647213981267385e-05,4.2516694314971874e-05,32
BK,15554,900760,0.674851,89.4805,89.4805,2.0168083200157624e-05,2.855736079138365e-05,2.22088063781406e-05,3.697088340559276e-05,5.917968978373336e-05,32
MBK,15554,900760,0.47791,89.3242,89.3242,1.4495792519255025e-05,2.865473525921629e-05,1.6058728124747346e-05,2.647662319967452e-05,4.253535132442186e-05,32
MBK2,15554,900760,0.315766,89.4961,89.4961,1.1610054210156784e-05,2.8600230590297013e-05,1.282615942758275e-05,2.1241500830980443e-05,3.4067660258563193e-05,32
BK,12034,687360,0.708509,89.4531,89.4531,2.300276355111021e-05,2.853276669561204e-05,2.529104245504316e-05,4.220651780455711e-05,6.749756025960026e-05,32
MBK,12034,687360,0.588019,89.418,89.418,1.7296921374599326e-05,2.854360807450816e-05,1.903701828515764e-05,3.171775255763692e-05,5.075477084279455e-05,32
MBK2,12034,687360,0.385328,89.4258,89.4258,1.1667741064552216e-05,2.872644341916719e-05,1.2983155108732549e-05,2.12537770689238e-05,3.423693217765634e-05,32
BK,13602,783932,0.526085,89.5977,89.5977,1.7230325737148544e-05,2.8428834377987217e-05,1.883862034866152e-05,3.1720737319456305e-05,5.055935766811782e-05,32
MBK,13602,783932,0.428752,89.6211,89.6211,1.4387912269292765e-05,2.8441401228829387e-05,1.574239731613053e-05,2.647639840589733e-05,4.221879572202786e-05,32
MBK2,13602,783932,0.287446,89.4414,89.4414,8.747137321033352e-06,2.8609647023994224e-05,9.677615519856908e-06,1.5989319112306077e-05,2.5666934632162985e-05,32
BK,9986,564928,0.624558,89.3438,89.3438,2.023312690864502e-05,2.865145314403312e-05,2.2407221259096444e-05,3.696332783697045e-05,5.9370549096066897e-05,32
MBK,9986,564928,0.511619,89.4766,89.4766,1.725141351069339e-05,2.8475725470992207e-05,1.890864123801212e-05,3.171259478930466e-05,5.062123602731677e-05,32
MBK2,9986,564928,0.343536,89.6094,89.6094,1.155180531525048e-05,2.8476693017252508e-05,1.2669587635662227e-05,2.1227151494869646e-05,3.3896739130531874e-05,32
BK,16898,984616,0.724886,89.4727,89.4727,2.302009349510256e-05,2.855534380205374e-05,2.534760138917652e-05,4.220081054032505e-05,6.754841192950157e-05,32
MBK,16898,984616,0.549263,89.4688,89.4688,1.727667402388255e-05,2.849985721879004e-05,1.896336905957835e-05,3.1731989496859115e-05,5.0695358556437465e-05,32
MBK2,16898,984616,0.363239,89.4141,89.4141,1.161418137673592e-05,2.861823002675331e-05,1.2842978052145236e-05,2.1236792650202576e-05,3.407977070234782e-05,32
